expt,id,game,sid,gender,age_month,ethnicity,hispanic
1,id13,game41,id13,female,59,black,no
1,id14,game41,id14,female,63,white,no
1,id15,game42,id15,female,51,white,no
1,id16,game42,id16,male,67,mixed,yes
1,id19,game44,id19,male,55,mixed,no
1,id20,game44,id20,male,64,white,no
1,id21,game45,id21,male,52,mixed,no
1,id22,game45,id22,male,60,mixed,no
1,id23,game46,id23,male,53,white,no
1,id24,game46,id24,male,70,black,no
1,id25,game47,id25,male,65,asian,no
1,id26,game47,id26,female,65,white,no
1,id27,game48,id27,female,52,white,no
1,id28,game48,id28,female,49,white,no
1,id29,game49,id29,female,55,mixed,no
1,id30,game49,id30,female,51,asian,no
1,id31,game50,id31,female,65,other,no
1,id32,game50,id32,female,53,mixed,no
1,id33,game51,id33,male,50,asian,no
1,id34,game51,id34,female,51,asian,no
1,id35,game52,id35,female,56,asian,no
1,id36,game52,id36,male,50,mixed,yes
1,id39,game54,id39,male,53,asian,no
1,id40,game54,id40,female,59,mixed,no
1,id41,game55,id41,female,56,black,no
1,id42,game55,id42,female,52,white,no
1,id43,game56,id43,male,48,other,no
1,id44,game56,id44,female,61,mixed,no
1,id45,game57,id45,female,58,white,no
1,id46,game57,id46,male,65,other,no
1,id47,game58,id47,female,67,white,no
1,id48,game58,id48,female,57,mixed,yes
1,id49,game59,id49,male,59,mixed,no
1,id50,game59,id50,male,62,white,no
1,id51,game60,id51,female,48,NaN,NaN
1,id52,game60,id52,male,69,white,no
1,id53,game61,id53,male,48,asian,no
1,id54,game61,id54,female,64,asian,no
1,id57,game63,id57,male,48,asian,no
1,id58,game63,id58,male,67,white,yes
2,id73,R83tnLDcgGTD3F4SR,id73,male,66,other,no
2,86,Qx7HLhhMwYRCosRyX,id86,male,58,mixed,no
2,85,uidAFavaAGAqJ8HYY,id85,female,66,white,yes
2,84,uidAFavaAGAqJ8HYY,id84,female,65,asian,no
2,id121,D6vdTyHjB9pWy9oTk,id121,male,69,mixed,no
2,id110,DD5546uyAjpEZB7Df,id110,male,62,white,yes
2,pear124,KPBNaTzQ8rxDECjgD,id75,male,61,mixed,no
2,apple123,KPBNaTzQ8rxDECjgD,id74,male,59,mixed,yes
2,id113,ku3ztvaAALvwJNEFk,id113,female,68,asian,no
2,id129,5LuHx6piA3FAjEEvF,id129,female,63,white,no
2,id133,GdxgdDaNrmnpHhnSc,id133,male,59,other,no
2,id149,6FrMxuQqHPG6BQ4id,id149,male,63,other,no
2,apple333,sfLKxjjG6efGYekzK,id92,male,67,asian,no
2,apple255,pxT5YubmAaAEgd9T9,id94,female,62,other,no
2,pear222,XHYAxKnSNRMEbigrq,id91,female,59,black,no
2,id142,Doyf4BCTAGKcZo7rC,id142,male,69,asian,no
2,id112,ku3ztvaAALvwJNEFk,id112,female,63,asian,no
2,id147,RZu2haHpawM28eRuK,id147,female,61,mixed,no
2,id116,WcEaqZRmgk5YCnxPZ,id116,male,56,asian,no
2,id70,TDdHXhZK29W9z7d8H,id70,female,55,mixed,no
2,apple127,n2qx434RYW8fxnEbP,id76,female,55,mixed,no
2,80,XA9YvXhM83Tack4qy,id78,female,57,asian,no
2,id122,D6vdTyHjB9pWy9oTk,id122,male,58,white,no
2,id124,F35AwXNeMjhzbWkKq,id124,female,58,white,no
2,id111,DD5546uyAjpEZB7Df,id111,male,57,mixed,yes
2,pear444,sfLKxjjG6efGYekzK,id93,male,62,mixed,no
2,id130,5LuHx6piA3FAjEEvF,id130,female,59,mixed,yes
2,id150,6FrMxuQqHPG6BQ4id,id150,male,59,other,no
2,id125,xwPovSuJgpqMFZruP,id125,female,59,NaN,NaN
2,id146,S9c9v6fAqdxuedydx,id146,male,56,asian,no
2,pear128,n2qx434RYW8fxnEbP,id77,female,45,white,no
2,id131,yubEzRSKnPkFZDJWS,id131,male,48,asian,no
2,120,8Pg9tqNTkvAHXD4YW,id120,male,49,mixed,no
2,id108,6NZ8uhHHsyQ9m8jRC,id108,female,48,mixed,no
2,id144,GCpwyMdn9qNTNhyqf,id144,male,52,mixed,no
2,id145,S9c9v6fAqdxuedydx,id145,male,52,other,yes
2,id109,6NZ8uhHHsyQ9m8jRC,id109,female,52,mixed,no
2,id123,F35AwXNeMjhzbWkKq,id123,male,54,mixed,no
2,97,uT4ySBFpCWunpYMmn,id97,male,59,mixed,no
2,id134,GdxgdDaNrmnpHhnSc,id134,male,50,white,no
2,98,iRoAhttnXMgZ4Fw3x,id98,male,51,asian,no
2,id143,GCpwyMdn9qNTNhyqf,id143,male,52,white,no
2,id141,Doyf4BCTAGKcZo7rC,id141,female,52,asian,no
2,id135,ZdZx6K6ecNYj9KbGY,id135,female,50,white,no
2,id71,TDdHXhZK29W9z7d8H,id71,female,52,asian,no
2,96,uT4ySBFpCWunpYMmn,id96,female,62,white,no
2,88,EaHFpvRKrAeZqnBz6,id88,male,51,mixed,no
2,118,8Pg9tqNTkvAHXD4YW,id118,male,52,white,no
2,id140,eqxTepQjfWyhW5s7a,id140,female,50,mixed,no
2,id72,R83tnLDcgGTD3F4SR,id72,male,61,asian,no
2,id148,RZu2haHpawM28eRuK,id148,female,49,other,no
2,99,iRoAhttnXMgZ4Fw3x,id99,female,52,mixed,no
2,id136,ZdZx6K6ecNYj9KbGY,id136,female,52,NaN,NaN
2,pear257,pxT5YubmAaAEgd9T9,id95,female,51,NaN,NaN
2,81,XA9YvXhM83Tack4qy,id79,female,53,white,no
2,89,EaHFpvRKrAeZqnBz6,id89,female,57,asian,no
2,87,Qx7HLhhMwYRCosRyX,id87,male,48,NaN,NaN
2,id117,WcEaqZRmgk5YCnxPZ,id117,male,49,asian,no
2,id139,eqxTepQjfWyhW5s7a,id139,female,53,NaN,NaN
2,apple111,XHYAxKnSNRMEbigrq,id90,female,55,NaN,NaN
2,id132,yubEzRSKnPkFZDJWS,id132,male,51,NaN,NaN
2,id126,xwPovSuJgpqMFZruP,id126,male,55,asian,no
